@relation 'corpus-weka.filters.unsupervised.attribute.Remove-V-R296,376,391,412,576,613,668,917,1042,1141,1148,1155,1477,1611,1650,1771,1812,2073,2078,2197-2198,2249,2462,2668,2817,3083,3086,3158,3182,3185,3190,3205,3213,3303,3374,3500,3581,3936,3976,3992,4428,4812,5351,5460,5525,5696,5797,5899,5949,5969,6069,6083,6129,6163,6176,6338,6530,6771,6831,6908,6945,7077,7188'

@attribute w_fre {1,0}
@attribute w_work {1,0}
@attribute w_ringtonek {1,0}
@attribute w_gmw {1,0}
@attribute w_gym {1,0}
@attribute w_how {1,0}
@attribute w_huh {1,0}
@attribute w_ken {1,0}
@attribute w_toilet {1,0}
@attribute w_lol {1,0}
@attribute w_pract {1,0}
@attribute w_lor {1,0}
@attribute w_now {1,0}
@attribute w_okay {1,0}
@attribute w_text {1,0}
@attribute w_suppliers {1,0}
@attribute w_that {1,0}
@attribute w_saf {1,0}
@attribute w_paus {1,0}
@attribute w_she {1,0}
@attribute w_stop {1,0}
@attribute w_mcfly-all {1,0}
@attribute w_sur {1,0}
@attribute w_txt {1,0}
@attribute w_way {1,0}
@attribute w_www {1,0}
@attribute w_aunty {1,0}
@attribute c_33 {1,0}
@attribute c_43 {1,0}
@attribute c_45 {1,0}
@attribute c_47 {1,0}
@attribute c_59 {1,0}
@attribute c_62 {1,0}
@attribute w_reply {1,0}
@attribute w_from {1,0}
@attribute w_plan {1,0}
@attribute w_sweet {1,0}
@attribute w_u-find {1,0}
@attribute w_i {1,0}
@attribute w_p {1,0}
@attribute w_lmao {1,0}
@attribute c_£ {1,0}
@attribute w_mins {1,0}
@attribute w_behind {1,0}
@attribute w_home {1,0}
@attribute w_da {1,0}
@attribute w_he {1,0}
@attribute w_me {1,0}
@attribute w_oh {1,0}
@attribute w_or {1,0}
@attribute w_to {1,0}
@attribute w_uk {1,0}
@attribute w_tripl {1,0}
@attribute w_mobl {1,0}
@attribute w_yo {1,0}
@attribute w_wher {1,0}
@attribute w_claim {1,0}
@attribute w_cal {1,0}
@attribute w_box {1,0}
@attribute w_but {1,0}
@attribute w_daddy {1,0}
@attribute w_serv {1,0}
@attribute CLASS {SPAM,HAM}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HAM
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,SPAM
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,SPAM
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,SPAM
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,SPAM
