@relation 'corpus-weka.filters.unsupervised.attribute.Remove-V-R4812,3190,6771,3992,2668,3158,6530,296,3976,6069,3083,7188'

@attribute c_£ {1,0}
@attribute c_47 {1,0}
@attribute w_cal {1,0}
@attribute w_p {1,0}
@attribute w_txt {1,0}
@attribute c_33 {1,0}
@attribute w_claim {1,0}
@attribute w_fre {1,0}
@attribute w_i {1,0}
@attribute w_to {1,0}
@attribute w_www {1,0}
@attribute CLASS {SPAM,HAM}

@data
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,1,0,0,1,0,1,0,SPAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,1,1,0,HAM
1,0,0,0,0,1,0,0,1,1,0,SPAM
0,0,0,0,0,0,0,0,0,1,0,HAM
0,0,0,0,0,0,0,0,0,1,0,HAM
1,0,1,0,0,1,1,0,0,1,0,SPAM
0,0,1,0,0,1,0,1,0,1,0,SPAM
0,0,0,0,0,0,0,0,1,1,0,HAM
0,1,0,1,1,1,0,0,0,1,0,SPAM
1,0,0,0,1,1,1,1,0,1,1,SPAM
0,0,0,0,0,0,0,0,1,1,0,HAM
0,0,0,0,0,1,0,0,1,0,0,HAM
0,1,0,0,1,0,0,0,0,1,0,SPAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,1,0,0,1,0,0,0,0,1,0,SPAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,1,1,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,1,1,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,1,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,0,1,0,HAM
0,0,0,0,0,1,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
1,1,0,0,0,0,0,0,0,1,0,SPAM
0,0,0,0,0,0,0,0,1,1,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,1,0,0,1,1,0,HAM
0,0,0,0,0,0,0,0,1,1,0,HAM
0,0,0,0,0,0,0,0,1,1,0,HAM
0,0,1,0,0,0,0,1,0,1,0,SPAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,1,0,0,1,0,0,HAM
0,0,1,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,1,1,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,1,1,0,HAM
0,0,0,0,0,0,0,0,0,0,0,SPAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,1,0,0,1,0,0,0,0,0,SPAM
0,0,1,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,1,1,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
1,0,1,0,0,0,0,0,1,1,0,SPAM
0,0,0,0,0,0,0,0,0,1,0,HAM
1,0,0,0,1,0,1,0,0,1,0,SPAM
0,0,0,0,0,1,0,0,0,0,0,SPAM
0,0,0,0,0,0,0,0,1,1,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,1,0,0,0,0,0,0,0,0,HAM
0,0,1,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,1,0,0,0,0,0,1,0,0,HAM
0,0,1,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,1,1,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,1,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,1,1,0,HAM
0,0,0,0,0,0,0,0,1,1,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,1,0,0,0,1,0,HAM
0,0,0,0,0,0,0,0,1,1,0,HAM
0,0,0,0,0,1,0,0,0,1,0,HAM
1,0,1,0,0,1,0,0,0,0,0,SPAM
0,0,0,0,0,0,0,0,1,1,0,HAM
0,0,0,0,0,0,0,1,0,1,0,SPAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,1,1,0,HAM
0,0,0,0,0,1,0,0,1,1,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,1,1,0,HAM
0,0,0,0,0,1,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,1,1,0,HAM
0,0,0,0,0,0,0,0,0,1,0,HAM
0,0,0,0,0,1,0,0,1,1,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,1,0,0,1,1,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
1,0,1,0,0,1,1,0,0,1,0,SPAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,1,0,0,1,1,0,HAM
1,1,0,1,0,0,1,0,0,1,0,SPAM
0,0,0,0,0,1,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,1,0,0,1,1,0,0,1,0,SPAM
1,1,1,0,0,1,0,0,0,1,0,SPAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,1,0,0,0,1,0,0,1,0,SPAM
0,0,0,0,0,0,0,0,1,1,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,1,1,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,1,0,0,1,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,1,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
1,0,0,0,1,1,0,0,0,1,0,SPAM
0,0,0,1,0,1,0,0,0,1,0,SPAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,1,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,1,0,1,0,SPAM
0,0,0,0,0,0,0,0,1,1,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,1,0,0,0,0,1,1,0,SPAM
0,0,1,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,1,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,0,1,0,HAM
0,0,1,0,0,0,0,0,0,1,0,SPAM
1,0,0,0,0,0,1,0,0,1,0,SPAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,1,0,0,0,0,0,0,0,1,1,SPAM
0,1,0,0,0,0,0,0,0,0,0,SPAM
0,0,0,0,0,0,0,0,1,0,0,HAM
1,0,1,0,0,1,1,0,0,1,0,SPAM
0,0,0,0,0,0,0,0,0,1,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,1,0,0,0,0,1,0,1,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,1,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,1,0,HAM
0,0,0,0,0,0,0,1,0,1,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,1,0,1,0,1,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,1,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
1,0,1,0,0,1,0,0,0,0,0,SPAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,0,0,1,SPAM
0,0,0,0,0,0,0,0,1,1,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,1,1,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,1,1,0,0,1,1,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,1,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,1,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,1,0,0,1,1,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,1,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,1,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,1,1,0,HAM
0,0,0,0,0,0,0,0,1,1,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,1,0,0,0,0,0,0,1,0,HAM
0,0,1,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
1,1,0,0,1,1,0,0,0,1,1,SPAM
0,0,1,0,0,0,0,0,0,1,0,HAM
0,0,0,0,1,0,0,0,0,0,0,SPAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,0,1,0,HAM
0,0,0,0,0,0,0,0,0,1,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,1,0,0,0,0,0,1,0,SPAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,1,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,SPAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,1,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,1,0,0,0,0,0,1,1,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,1,0,0,1,0,1,1,SPAM
0,0,1,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,1,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,0,0,HAM
0,0,0,0,0,0,0,0,0,1,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
0,0,0,0,0,0,0,0,1,1,0,HAM
0,0,0,0,0,0,0,0,0,1,0,HAM
0,0,0,0,0,0,0,0,1,0,0,HAM
